base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KV_D,cumulative_frac_diff_KV_D,frac_diff_KH,cumulative_frac_diff_KH,frac_diff_KH_D,cumulative_frac_diff_KH_D
AA,46.30738,49.746292,50.828865,50.828278,50.828865,50.828594,50.828865,50.828594,50.828865,50.828594,50.828865,50.828594,-0.23961609195402303,-0.23961609195402303,-0.18314791461412164,-0.18314791461412164,-0.16537167487684737,-0.16537167487684737,-0.16538131362889996,-0.16538131362889996,-0.16537167487684737,-0.16537167487684737,-0.16537612479474553,-0.16537612479474553,-0.16537167487684737,-0.16537167487684737,-0.16537612479474553,-0.16537612479474553,-0.16537167487684737,-0.16537167487684737,-0.16537612479474553,-0.16537612479474553,-0.16537167487684737,-0.16537167487684737,-0.16537612479474553,-0.16537612479474553
AW,46.307358,49.74629,50.82878,50.82819,50.82876,50.828487,50.82876,50.828487,50.828815,50.82855,50.828815,50.828487,-0.2396164532019705,-0.47923254515599356,-0.18314794745484406,-0.3662958620689657,-0.1653730706075534,-0.3307447454844008,-0.16538275862068974,-0.3307640722495897,-0.16537339901477835,-0.3307450738916257,-0.16537788177339904,-0.3307540065681446,-0.16537339901477835,-0.3307450738916257,-0.16537788177339904,-0.3307540065681446,-0.1653724958949098,-0.33074417077175716,-0.16537684729064048,-0.330752972085386,-0.1653724958949098,-0.33074417077175716,-0.16537788177339904,-0.3307540065681446
BA,46.30738,49.746292,50.828865,50.828278,50.828865,50.828594,50.828865,50.828594,50.828865,50.828594,50.828865,50.828594,-0.23961609195402303,-0.7188486371100166,-0.18314791461412164,-0.5494437766830873,-0.16537167487684737,-0.49611642036124814,-0.16538131362889996,-0.49614538587848966,-0.16537167487684737,-0.4961167487684731,-0.16537612479474553,-0.4961301313628901,-0.16537167487684737,-0.4961167487684731,-0.16537612479474553,-0.4961301313628901,-0.16537167487684737,-0.49611584564860456,-0.16537612479474553,-0.4961290968801315,-0.16537167487684737,-0.49611584564860456,-0.16537612479474553,-0.4961301313628901
AB,46.175106,47.42341,49.322845,49.322273,49.322845,49.322613,49.322845,49.322613,49.322826,49.322594,49.322826,49.322582,-0.24178807881773406,-0.9606367159277507,-0.22129047619047632,-0.7707342528735637,-0.19010106732348117,-0.6862174876847293,-0.19011045977011498,-0.6862558456486046,-0.19010106732348117,-0.6862178160919543,-0.19010487684729077,-0.6862350082101809,-0.19010106732348117,-0.6862178160919543,-0.19010487684729077,-0.6862350082101809,-0.1901013793103449,-0.6862172249589494,-0.1901051888341544,-0.6862342857142859,-0.1901013793103449,-0.6862172249589494,-0.19010538587848946,-0.6862355172413795
AP,34.735493,47.42341,49.322845,49.322273,49.322845,49.322613,49.322845,49.322613,49.322815,49.322582,49.322815,49.322594,-0.42963065681445,-1.3902673727422008,-0.22129047619047632,-0.99202472906404,-0.19010106732348117,-0.8763185550082105,-0.19011045977011498,-0.8763663054187196,-0.19010106732348117,-0.8763188834154355,-0.19010487684729077,-0.8763398850574717,-0.19010106732348117,-0.8763188834154355,-0.19010487684729077,-0.8763398850574717,-0.19010155993431865,-0.8763187848932681,-0.19010538587848946,-0.8763396715927754,-0.19010155993431865,-0.8763187848932681,-0.1901051888341544,-0.8763407060755339
BB,46.175106,47.4234,49.322845,49.322273,49.322807,49.322575,49.322845,49.322613,49.322815,49.322582,49.322815,49.322594,-0.24178807881773406,-1.6320554515599348,-0.22129064039408872,-1.2133153694581287,-0.19010106732348117,-1.0664196223316917,-0.19011045977011498,-1.0664767651888347,-0.19010169129720866,-1.066420574712644,-0.19010550082101813,-1.06644538587849,-0.19010106732348117,-1.0664199507389167,-0.19010487684729077,-1.0664447619047626,-0.19010155993431865,-1.0664203448275869,-0.19010538587848946,-1.066445057471265,-0.19010155993431865,-1.0664203448275869,-0.1901051888341544,-1.0664458949096884
BP,34.73548,47.423397,49.322807,49.322235,49.322845,49.322613,49.32279,49.32255,49.322826,49.322594,49.322826,49.322613,-0.42963087027914615,-2.061686321839081,-0.22129068965517246,-1.4346060591133012,-0.19010169129720866,-1.2565213136289004,-0.19011108374384245,-1.2565878489326772,-0.19010106732348117,-1.2565216420361252,-0.19010487684729077,-1.2565502627257807,-0.19010197044334987,-1.2565219211822667,-0.19010591133004934,-1.256550673234812,-0.1901013793103449,-1.2565217241379318,-0.1901051888341544,-1.2565502463054194,-0.1901013793103449,-1.2565217241379318,-0.19010487684729077,-1.2565507717569793
BZ,46.1751,47.42341,49.322807,49.322235,49.322826,49.322594,49.322845,49.322613,49.322815,49.322582,49.322815,49.322594,-0.24178817733990154,-2.3034744991789826,-0.22129047619047632,-1.6558965353037776,-0.19010169129720866,-1.446623004926109,-0.19011108374384245,-1.4466989326765196,-0.1901013793103449,-1.4466230213464701,-0.1901051888341544,-1.446655451559935,-0.19010106732348117,-1.4466229885057478,-0.19010487684729077,-1.4466555500821028,-0.19010155993431865,-1.4466232840722504,-0.19010538587848946,-1.446655632183909,-0.19010155993431865,-1.4466232840722504,-0.1901051888341544,-1.4466559605911335
AC,46.12567,46.193367,48.069492,48.068913,48.069435,48.069176,48.069492,48.06923,48.069473,48.06921,48.069473,48.06922,-0.2425998357963876,-2.54607433497537,-0.24148822660098526,-1.8973847619047628,-0.21068157635467993,-1.657304581280789,-0.2106910837438424,-1.657390016420362,-0.21068251231527102,-1.657305533661741,-0.21068676518883425,-1.6573422167487692,-0.21068157635467993,-1.6573045648604277,-0.21068587848932688,-1.6573414285714296,-0.21068188834154356,-1.657305172413794,-0.21068620689655182,-1.6573418390804608,-0.21068188834154356,-1.657305172413794,-0.2106860426929393,-1.6573420032840729
AF,34.603184,39.120964,39.14593,39.208687,48.069458,48.0692,48.069492,48.06923,48.069492,48.06923,48.069492,48.06922,-0.43180321839080466,-2.9778775533661745,-0.3576196387520526,-2.2550044006568153,-0.35720968801313635,-2.014514269293925,-0.356179195402299,-2.013569211822661,-0.21068213464696234,-1.8679876683087033,-0.21068637110016425,-1.8680285878489336,-0.21068157635467993,-1.8679861412151075,-0.21068587848932688,-1.8680273070607565,-0.21068157635467993,-1.8679867487684738,-0.21068587848932688,-1.8680277175697877,-0.21068157635467993,-1.8679867487684738,-0.2106860426929393,-1.8680280459770122
