it,base_code,SP,TCT,ST,DG,KV,KH
Z_AA_0,AA,46.3176,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474
Z_AA_1,AA,46.3176,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474
Z_AA_2,AA,46.3176,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474
Z_AA_3,AA,46.3176,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474
Z_AB_0,AB,34.7382,39.654655999204735,39.654655999204735,39.654655999204735,48.749166908295656,48.749166908295656
Z_AB_1,AB,46.3176,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656
Z_AB_2,AB,34.7382,39.654655999204735,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656
Z_AB_3,AB,46.3176,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656
Z_AC_0,AC,23.1588,27.837411933804056,38.57034690829565,27.837411933804056,47.76343137110557,47.76343137110557
Z_AC_1,AC,46.3176,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557
Z_AC_2,AC,23.1588,27.837411933804056,38.57034690829565,47.76343137110557,47.76343137110557,47.76343137110557
Z_AC_3,AC,46.3176,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557,47.76343137110557
Z_AD_0,AD,11.5794,14.681477933008797,37.58461137110556,14.681477933008797,46.86730815547822,46.86730815547822
Z_AD_1,AD,46.3176,46.86730815547822,46.86730815547822,46.86730815547822,46.86730815547822,46.86730815547822
Z_AD_2,AD,11.5794,14.681477933008797,37.58461137110556,46.86730815547822,46.86730815547822,46.86730815547822
Z_AD_3,AD,46.3176,46.86730815547822,46.86730815547822,46.86730815547822,46.86730815547822,46.86730815547822
Z_AE_0,AE,0.0,0.39369771913960755,36.68848815547822,13.597168842099702,46.05265068672608,46.05265068672608
Z_AE_1,AE,46.3176,46.05265068672608,46.05265068672608,46.05265068672608,46.05265068672608,46.05265068672608
Z_AE_2,AE,0.0,0.39369771913960755,36.68848815547822,46.05265068672608,46.05265068672608,46.05265068672608
Z_AE_3,AE,46.3176,46.05265068672608,46.05265068672608,46.05265068672608,46.05265068672608,46.05265068672608
