it,base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D
Z_BN_1,BN,0.040503312,7.3279166,0.1033271,8.0465555,1.1291164,8.930065,1.1291158,8.930103,10.838512,10.838252,10.838512,10.838266
Z_BN_2,BN,0.18353455,8.488125,1.1291164,8.945175,1.1291164,8.930065,1.1291164,8.930059,10.838512,10.838252,10.838512,10.838266
Z_BN_3,BN,0.04051053,7.327932,0.103341095,8.046586,1.1291419,8.930065,0.33149782,7.7928624,10.838512,10.838252,10.838512,10.838266
Z_BO_0,BO,0.49613902,17.609571,1.2246969,19.004704,12.602694,18.817654,12.602694,18.817654,23.070992,23.070726,23.070992,23.070742
Z_BP_0,BP,34.73548,47.423397,49.322807,49.322235,49.322845,49.322613,39.46297,44.789238,49.322826,49.322594,49.322826,49.322613
Z_BP_1,BP,34.73548,47.423397,49.322807,49.322235,49.32277,49.322536,49.32279,49.32255,49.322758,49.32252,49.322758,49.322536
Z_BQ_0,BQ,11.619994,45.35083,37.842766,37.84218,26.601046,39.05629,26.601046,39.05629,37.84279,37.84254,37.84279,38.818825
Z_BQ_1,BQ,34.470844,34.470306,46.972355,46.97178,38.8191,38.818825,46.972336,46.972065,37.842705,37.842453,37.842705,38.818825
Z_BR_0,BR,1.1118667,35.75975,25.396132,31.733255,13.052528,31.563234,13.067957,37.62235,37.228752,37.228477,37.228752,36.45829
Z_BR_1,BR,34.371975,34.37142,38.19219,38.1916,36.458508,36.458233,37.228695,37.22842,37.22868,37.2284,37.22868,36.458233
Z_BS_0,BS,0.7304793,32.695225,12.35536,31.624125,12.909136,27.27577,1.2816166,36.448685,35.864563,35.864296,35.864563,35.864285
Z_BS_1,BS,34.266865,34.266304,35.864525,35.86395,35.864502,35.864235,35.217937,35.21767,35.864517,35.864246,35.864517,35.864235
Z_BT_0,BT,0.36986744,31.534784,0.36986744,31.534784,12.806899,20.869867,1.2630472,29.26848,34.09169,34.091427,34.09169,34.091427
Z_BT_1,BT,34.09169,34.091187,34.09169,34.091187,34.09169,34.091427,34.09169,34.091427,34.09169,34.091427,34.09169,34.091427
Z_BU_0,BU,34.228706,34.228146,35.864525,35.86395,35.864525,35.864258,35.86452,35.864254,35.864532,35.86426,35.864532,35.86428
Z_BU_1,BU,0.73047733,32.695206,1.2734557,31.634388,25.068398,25.068121,12.909136,27.27579,35.86454,35.864273,35.86454,35.86427
Z_BU_2,BU,34.228706,34.228146,35.864525,35.86395,35.864502,35.864235,35.864502,35.864235,35.864502,35.864235,35.864502,35.864296
Z_BU_3,BU,0.73049885,32.69525,1.2734755,31.634441,12.964248,29.636683,12.978448,35.509315,35.864536,35.86427,35.864536,35.864254
Z_BV_0,BV,22.350767,22.350216,23.597265,23.596691,23.597242,23.596968,23.597254,23.59698,23.597305,23.59703,23.597305,23.596968
Z_BV_1,BV,0.20561202,19.202246,0.35799176,18.48885,12.0553255,13.992937,12.055384,13.992929,23.597254,23.59698,23.597254,23.597021
Z_BV_2,BV,22.350767,22.350216,23.597265,23.596691,23.597242,23.596968,23.597254,23.59698,23.597305,23.59703,23.597305,23.596968
Z_BV_3,BV,0.20563059,19.202272,0.35801372,18.488878,12.071211,14.665496,1.213731,20.442818,23.597254,23.59698,23.597254,23.597021
Z_BW_0,BW,10.538771,10.538234,11.273772,11.273201,11.273748,11.2734785,11.273748,11.2734785,11.273748,11.2734785,11.273748,11.273544
Z_BW_1,BW,0.050479986,7.343765,0.10462574,8.163256,1.1424483,9.022973,11.273813,11.273544,11.273785,11.273516,11.273785,11.273499
Z_BW_2,BW,10.538771,10.538234,11.273772,11.273201,11.273772,11.273503,11.273767,11.273499,11.273777,11.273508,11.273777,11.27353
Z_BW_3,BW,0.050488994,7.3437815,0.10463996,8.163286,1.1424739,9.022973,0.33507165,7.9848247,11.273789,11.27352,11.273789,11.273516
Z_BX_0,BX,22.350767,22.350216,23.597265,23.596691,23.597242,23.596968,23.597242,23.596968,23.597242,23.596968,23.597242,23.59703
Z_BX_1,BX,0.20561549,19.202265,0.35799208,18.488873,12.055289,13.992953,12.550839,18.191893,23.597279,23.597004,23.597279,23.596987
Z_BX_2,BX,22.350767,22.350216,23.597265,23.596691,23.597265,23.59699,23.597261,23.596987,23.597271,23.596996,23.597271,23.597017
Z_BX_3,BX,0.20561859,19.202269,0.35799903,18.488873,12.071232,14.665504,12.055269,13.992968,23.597282,23.597008,23.597282,23.597004
Z_BY_0,BY,10.641005,11.39957,11.458382,11.4578085,11.859148,12.877815,11.859148,12.877815,11.859148,12.877815,11.859148,12.877812
