it,base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D
Z_AA_0,AA,27.744131,29.16605,30.553322,30.553146,30.553322,30.553146,30.553322,30.553146,30.553322,30.553146,30.553322,30.553322
Z_AA_1,AA,27.744131,29.16605,30.553322,30.553146,30.553297,30.553122,30.553297,30.553122,30.553278,30.553104,30.55327,30.55327
Z_AA_2,AA,27.74412,29.166056,30.55327,30.553097,30.553322,30.553146,30.553322,30.553146,30.553297,30.553122,30.553278,30.553278
Z_AA_3,AA,27.74412,29.166056,30.55327,30.553097,30.55327,30.553097,30.55327,30.553097,30.55327,30.553097,30.55327,30.55327
Z_AB_0,AB,18.441914,27.757414,21.00097,26.534323,21.00097,26.534323,21.00097,26.534323,29.3721,29.371935,29.3721,29.3721
Z_AB_1,AB,27.659025,27.658667,29.372108,29.371944,29.37209,29.371925,29.37209,29.371925,29.372076,29.371912,29.372097,29.372097
Z_AB_2,AB,18.441893,27.757427,21.000908,26.534346,21.00097,26.534323,29.372108,29.371944,29.372084,29.37192,29.3721,29.3721
Z_AB_3,AB,27.659014,27.658659,29.372076,29.371912,29.372076,29.371912,29.372076,29.371912,29.372076,29.371912,29.372076,29.372076
Z_AC_0,AC,9.149549,27.015453,10.469193,26.471252,20.786629,21.694193,10.469193,26.471252,20.786629,21.694181,28.387978,28.387978
Z_AC_1,AC,27.610926,27.610565,28.387978,28.387804,28.387962,28.387789,28.387962,28.387789,28.38797,28.387796,28.387976,28.387976
Z_AC_2,AC,9.149516,27.01547,10.469124,26.471273,20.786629,21.694176,28.387978,28.387804,20.786598,21.694187,28.387978,28.387978
Z_AC_3,AC,27.610924,27.61056,28.387962,28.387789,28.387962,28.387789,28.387962,28.387789,28.387962,28.387789,28.387962,28.387962
Z_AD_0,AD,0.58946157,26.502764,0.58946157,26.421598,19.864248,19.864075,10.406165,21.61555,19.864239,19.864063,27.523167,27.523167
Z_AD_1,AD,27.523167,27.522856,27.523167,27.522997,27.523167,27.522997,27.523167,27.522997,27.523167,27.522997,27.523167,27.523167
Z_AD_2,AD,0.58947057,26.502785,0.58947057,26.421621,19.864235,19.86406,27.523167,27.522997,19.864222,19.864044,27.523167,27.523167
Z_AD_3,AD,27.523167,27.522856,27.523167,27.522997,27.523167,27.522997,27.523167,27.522997,27.523167,27.522997,27.523167,27.523167
Z_AE_0,AE,18.355633,21.376537,20.786629,21.694193,20.786629,21.694193,20.786629,21.694193,28.387978,28.387804,28.387978,28.387978
Z_AE_1,AE,18.355633,21.376537,20.786629,21.694193,20.786598,21.694191,28.387978,28.387804,28.38797,28.387796,28.387976,28.387976
Z_AE_2,AE,18.355614,21.376541,20.78657,21.694176,20.786629,21.694176,28.387976,28.387802,28.387976,28.387802,28.387978,28.387978
Z_AE_3,AE,18.355614,21.376541,20.78657,21.694176,20.78657,21.694176,20.78658,21.694195,28.387962,28.387789,28.387962,28.387962
Z_AF_0,AF,9.0179405,20.35429,10.343096,20.566666,19.655006,19.654827,10.343096,20.566666,19.654995,19.65482,19.654984,19.654984
Z_AF_1,AF,9.0179405,20.35429,10.343096,20.566666,20.356981,20.356802,20.357008,20.35683,19.654995,19.654818,20.356981,20.356981
Z_AF_2,AF,9.017915,20.354301,10.343029,20.56668,19.654991,19.654814,20.356962,20.356785,19.654978,19.654802,19.655006,19.655006
Z_AF_3,AF,9.017915,20.354301,10.343029,20.56668,20.356953,20.356775,19.654984,19.654806,19.654978,19.654802,20.356981,20.356981
Z_AG_0,AG,0.40785232,19.792368,0.57054013,19.66287,10.178459,14.421932,10.178493,14.421909,10.178437,14.421933,18.687632,18.687632
Z_AG_1,AG,0.40785232,19.792368,0.57054013,19.66287,10.178493,14.421909,0.57054013,19.66287,10.178493,14.421896,18.687649,18.687649
Z_AG_2,AG,0.40785992,19.792385,0.5705489,19.662891,10.178428,14.421934,18.687632,18.687477,10.178429,14.421922,18.687645,18.687645
Z_AG_3,AG,0.40785992,19.792385,0.5705489,19.662891,10.178493,14.42189,18.687649,18.687492,10.178459,14.421901,18.687649,18.687649
Z_AH_0,AH,8.929749,13.775751,10.240981,14.637065,10.240947,14.637089,10.240981,14.637065,19.450695,19.450525,19.450682,19.450682
Z_AH_1,AH,8.929749,13.775751,10.240981,14.637065,19.450682,19.450512,19.450695,19.450525,19.450695,19.450525,19.450682,19.450682
Z_AH_2,AH,8.929728,13.775755,10.240916,14.637072,10.240916,14.63709,19.450672,19.4505,19.450678,19.450508,19.450705,19.450705
Z_AH_3,AH,8.929728,13.775755,10.240916,14.637072,19.450672,19.4505,18.889225,18.889051,19.450678,19.450508,19.450705,19.450705
Z_AI_0,AI,0.29171124,13.145413,0.5621255,14.378251,0.5621227,14.378274,9.625792,11.902857,10.0777445,13.61274,10.077736,10.077736
Z_AI_1,AI,0.29171124,13.145413,0.5621255,14.378251,10.077799,13.612722,0.5621255,14.378239,10.077799,13.612722,10.0777445,10.0777445
Z_AI_2,AI,0.2917186,13.145424,0.5621341,14.378259,0.56213385,14.378276,10.077736,13.612738,10.077736,13.612738,10.077736,10.077736
Z_AI_3,AI,0.2917186,13.145424,0.5621341,14.378259,10.077799,13.612714,18.01908,18.018913,10.077765,13.612735,10.077799,10.077799
Z_AJ_0,AJ,0.14760585,8.377094,0.5397544,8.49188,0.5397518,8.491899,9.429513,9.429337,9.4295025,9.429327,9.429478,9.429478
Z_AJ_1,AJ,0.14760585,8.377094,0.5397544,8.49188,9.429513,9.429337,0.5454707,12.897061,9.4295025,9.429327,9.429478,9.429478
Z_AJ_2,AJ,0.14761177,8.377102,0.53976285,8.491897,0.5397627,8.4918995,0.53976285,8.491897,9.429485,9.42931,9.429499,9.429499
Z_AJ_3,AJ,0.14761177,8.377102,0.53976285,8.491897,9.429499,9.429322,9.429485,9.42931,9.429485,9.42931,9.429499,9.429499
Z_AK_0,AK,18.441908,27.757418,29.372108,29.371944,29.372108,29.371944,29.372108,29.371944,29.372097,29.371933,29.372097,29.372097
Z_AK_1,AK,18.441908,27.757418,29.372108,29.371944,29.37209,29.371925,29.37209,29.371925,29.37209,29.371925,29.372076,29.372076
Z_AK_2,AK,18.441893,27.757427,29.372076,29.371912,29.372097,29.371933,29.372097,29.371933,29.37209,29.371925,29.372076,29.372076
Z_AK_3,AK,18.441893,27.757427,29.372076,29.371912,29.372076,29.371912,21.000908,26.534346,29.372097,29.371933,29.372097,29.372097
Z_AL_0,AL,9.149531,27.015463,28.387978,28.387804,28.387976,28.387802,28.387976,28.387802,28.38797,28.387796,20.78657,20.78657
Z_AL_1,AL,9.149531,27.015463,28.387978,28.387804,20.78658,21.694206,28.387962,28.387789,28.387978,28.387804,28.38797,28.38797
Z_AL_2,AL,9.149521,27.015467,28.387962,28.387789,28.387976,28.387802,28.387976,28.387802,28.387962,28.387789,20.78657,20.78657
Z_AL_3,AL,9.149521,27.015467,28.387962,28.387789,20.78658,21.694195,20.78657,21.694176,28.387976,28.387802,28.38797,28.38797
Z_AM_0,AM,0.5894632,26.502777,27.523167,27.522997,20.573603,20.644474,20.573603,20.644474,27.523167,27.522997,20.573545,20.573545
Z_AM_1,AM,0.5894632,26.502777,27.523167,27.522997,20.573553,20.64449,20.573545,20.644493,27.523167,27.522997,20.573545,20.573545
Z_AN_0,AN,27.659018,27.65866,29.37209,29.371925,29.37209,29.371925,29.37209,29.371925,29.37209,29.371925,29.37209,29.37209
Z_AN_1,AN,18.441914,27.757414,21.00097,26.534323,29.372108,29.371944,21.00097,26.534323,29.3721,29.371935,29.37209,29.37209
Z_AN_2,AN,27.659018,27.65866,29.37209,29.371925,29.372076,29.371912,29.372076,29.371912,29.372097,29.371933,29.372108,29.372108
Z_AN_3,AN,18.441893,27.757427,21.000908,26.534346,29.372097,29.371933,29.37209,29.371925,29.372084,29.37192,29.372108,29.372108
Z_AO_0,AO,18.270481,18.27013,19.864225,19.86405,19.864225,19.86405,20.573572,20.644478,27.523167,27.522997,27.523167,27.523167
Z_AO_1,AO,18.27049,18.270142,19.864248,19.864075,20.573572,20.644491,20.573603,20.644476,27.523167,27.522997,20.573553,20.573553
Z_AO_2,AO,18.270481,18.27013,19.864225,19.86405,19.864214,19.864037,19.864214,19.864037,27.523167,27.522997,27.523167,27.523167
Z_AO_3,AO,18.270475,18.270126,19.864214,19.864037,20.573545,20.644497,20.573545,20.644493,27.523167,27.522997,20.573603,20.573603
Z_AP_0,AP,8.886171,16.346237,9.747857,15.907119,10.240926,14.637077,18.889225,18.889051,19.450682,19.450512,19.450672,19.450672
Z_AP_1,AP,18.177608,18.177252,18.88924,18.889067,19.450682,19.450512,19.450691,19.450521,19.450695,19.450525,19.450672,19.450672
Z_AP_2,AP,8.886171,16.346237,9.747857,15.907119,10.240926,14.637065,10.240916,14.637072,19.450691,19.450521,19.450691,19.450691
Z_AP_3,AP,18.1776,18.177244,18.889225,18.889051,19.450672,19.4505,18.889225,18.889051,19.450678,19.450508,19.450691,19.450691
Z_AQ_0,AQ,0.13168332,15.975383,0.13168332,15.808358,0.5599288,13.7670965,9.589082,9.58891,18.01908,18.018913,18.01908,18.01908
Z_AQ_1,AQ,18.01908,18.018747,18.01908,18.018913,18.01908,18.018913,18.01908,18.018913,18.01908,18.018913,18.01908,18.01908
Z_AR_0,AR,18.142282,18.14193,19.450682,19.450512,19.450682,19.450512,19.450678,19.450508,19.450691,19.450521,19.450691,19.450691
Z_AR_1,AR,0.34962773,16.849577,0.57458603,15.92246,10.240947,14.637089,10.240981,14.637065,19.450695,19.450525,19.450672,19.450672
Z_AR_2,AR,18.142282,18.14193,19.450682,19.450512,19.450672,19.4505,19.450672,19.4505,19.450682,19.450512,19.450672,19.450672
Z_AR_3,AR,0.34963652,16.84959,0.57459486,15.922478,10.240916,14.63709,10.2799225,19.711037,19.450678,19.450508,19.450691,19.450691
Z_AS_0,AS,8.660828,8.660484,9.42949,9.429314,9.429478,9.429301,9.429478,9.429301,9.42949,9.429314,9.429478,9.429478
Z_AS_1,AS,0.07024137,7.9662895,0.12687007,8.650544,0.5397518,8.491899,9.429513,9.429337,9.4295025,9.429327,9.429499,9.429499
Z_AS_2,AS,8.660828,8.660484,9.42949,9.429314,9.42949,9.429314,9.429485,9.42931,9.429499,9.429322,9.429499,9.429499
