base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KV_D,cumulative_frac_diff_KV_D,frac_diff_KH,cumulative_frac_diff_KH,frac_diff_KH_D,cumulative_frac_diff_KH_D
AA,27.74412,29.16605,30.55327,30.553097,30.55327,30.553097,30.55327,30.553097,30.55327,30.553097,30.55327,30.55327,-0.2858656370656371,-0.2858656370656371,-0.24926512226512232,-0.24926512226512232,-0.21355804375804374,-0.21355804375804374,-0.21356249678249678,-0.21356249678249678,-0.21355804375804374,-0.21355804375804374,-0.21356249678249678,-0.21356249678249678,-0.21355804375804374,-0.21355804375804374,-0.21356249678249678,-0.21356249678249678,-0.21355804375804374,-0.21355804375804374,-0.21356249678249678,-0.21356249678249678,-0.21355804375804374,-0.21355804375804374,-0.21355804375804374,-0.21355804375804374
AB,18.441893,27.658659,21.000908,26.534323,21.00097,26.534323,21.00097,26.534323,29.372076,29.371912,29.372076,29.372076,-0.5253051994851995,-0.8111708365508365,-0.28806540540540543,-0.5373305276705278,-0.45943608751608755,-0.6729941312741313,-0.317005842985843,-0.5305683397683398,-0.4594344916344917,-0.6729925353925355,-0.317005842985843,-0.5305683397683398,-0.4594344916344917,-0.6729925353925355,-0.317005842985843,-0.5305683397683398,-0.24396200772200774,-0.4575200514800515,-0.24396622908622917,-0.45752872586872595,-0.24396200772200774,-0.4575200514800515,-0.24396200772200774,-0.4575200514800515
AK,18.441893,27.757418,29.372076,29.371912,29.372076,29.371912,21.000908,26.534346,29.37209,29.371925,29.372076,29.372076,-0.5253051994851995,-1.3364760360360362,-0.2855233462033462,-0.822853873873874,-0.24396200772200774,-0.916956138996139,-0.24396622908622917,-0.7745345688545691,-0.24396200772200774,-0.9169545431145432,-0.24396622908622917,-0.7745345688545691,-0.45943608751608755,-1.132428622908623,-0.317005250965251,-0.8475735907335908,-0.24396164736164738,-0.7014816988416989,-0.24396589446589448,-0.7014946203346204,-0.24396200772200774,-0.7014820592020592,-0.24396200772200774,-0.7014820592020592
AN,18.441893,27.65866,21.000908,26.534323,29.372076,29.371912,21.00097,26.534323,29.372084,29.37192,29.37209,29.37209,-0.5253051994851995,-1.8617812355212355,-0.28806537966537965,-1.1109192535392536,-0.45943608751608755,-1.3763922265122266,-0.317005842985843,-1.0915404118404122,-0.24396200772200774,-1.1609165508365509,-0.24396622908622917,-1.0185007979407983,-0.4594344916344917,-1.5918631145431146,-0.317005842985843,-1.164579433719434,-0.2439618018018018,-0.9454435006435007,-0.2439660231660232,-0.9454606435006436,-0.24396164736164738,-0.9454437065637066,-0.24396164736164738,-0.9454437065637066
AZ,18.441893,27.65866,21.000908,26.534323,29.372097,29.371933,29.372097,29.371933,29.372084,29.37192,29.372076,29.372076,-0.5253051994851995,-2.387086435006435,-0.28806537966537965,-1.3989846332046332,-0.45943608751608755,-1.8358283140283143,-0.317005842985843,-1.408546254826255,-0.24396146718146722,-1.404878018018018,-0.24396568854568862,-1.262466486486487,-0.24396146718146722,-1.8358245817245817,-0.24396568854568862,-1.4085451222651226,-0.2439618018018018,-1.1894053024453024,-0.2439660231660232,-1.1894266666666669,-0.24396200772200774,-1.1894057142857144,-0.24396200772200774,-1.1894057142857144
BK,18.441902,27.757421,29.372097,29.371933,21.00097,26.534323,21.00097,26.534323,29.372076,29.371912,21.000908,21.000908,-0.5253049678249678,-2.912391402831403,-0.28552326898326896,-1.6845079021879021,-0.24396146718146722,-2.0797897812097816,-0.24396568854568862,-1.6525119433719437,-0.4594344916344917,-1.8643125096525097,-0.317005842985843,-1.5794723294723299,-0.4594344916344917,-2.295259073359073,-0.317005842985843,-1.7255509652509655,-0.24396200772200774,-1.4333673101673101,-0.24396622908622917,-1.433392895752896,-0.45943608751608755,-1.6488418018018018,-0.45943608751608755,-1.6488418018018018
AC,9.149516,27.015453,10.469124,26.471252,20.786629,21.694176,10.469193,26.471252,20.786598,21.694181,28.387962,28.387962,-0.7644912226512227,-3.6768826254826257,-0.30462154440154443,-1.9891294465894465,-0.7305244787644788,-2.8103142599742603,-0.3186292921492922,-1.9711412355212359,-0.46495163449163446,-2.329264144144144,-0.4415913513513514,-2.0210636808236813,-0.7305227027027027,-3.025781776061776,-0.3186292921492922,-2.044180257400258,-0.4649524324324324,-1.8983197425997425,-0.44159122265122264,-1.8749841184041187,-0.2692931274131274,-1.9181349292149292,-0.2692931274131274,-1.9181349292149292
AE,18.355614,21.376537,20.78657,21.694176,20.78657,21.694176,20.78658,21.694193,28.387962,28.387789,28.387962,28.387962,-0.5275260231660232,-4.2044086486486485,-0.4497673873873874,-2.438896833976834,-0.46495315315315316,-3.2752674131274135,-0.4415913513513514,-2.412732586872587,-0.46495315315315316,-2.794217297297297,-0.4415913513513514,-2.4626550321750327,-0.4649528957528958,-3.4907346718146717,-0.4415909137709138,-2.4857711711711716,-0.2692931274131274,-2.16761287001287,-0.26929758043758045,-2.144281698841699,-0.2692931274131274,-2.1874280566280566,-0.2692931274131274,-2.1874280566280566
AL,9.149521,27.015463,28.387962,28.387789,20.78658,21.694195,20.78657,21.694176,28.387962,28.387789,20.78657,20.78657,-0.7644910939510939,-4.968899742599742,-0.304621287001287,-2.7435181209781208,-0.2692931274131274,-3.544560540540541,-0.26929758043758045,-2.6820301673101676,-0.4649528957528958,-3.259170193050193,-0.4415908622908623,-2.904245894465895,-0.46495315315315316,-3.955687824967825,-0.4415913513513514,-2.927362522522523,-0.2692931274131274,-2.4369059974259972,-0.26929758043758045,-2.4135792792792796,-0.46495315315315316,-2.65238120978121,-0.46495315315315316,-2.65238120978121
AD,0.0,26.502764,0.0,26.421598,19.864235,19.86406,10.406165,21.61555,19.864222,19.864044,27.523167,27.523167,-1.0,-5.968899742599742,-0.3178181724581725,-3.0613362934362933,-1.0,-4.544560540540541,-0.31990738738738744,-3.0019375546975553,-0.4886940797940798,-3.747864272844273,-0.48869858429858437,-3.3929444787644796,-0.7321450450450451,-4.68783287001287,-0.4436151866151867,-3.3709777091377098,-0.4886944144144144,-2.9256004118404118,-0.48869899613899614,-2.9022782754182757,-0.291552972972973,-2.943934182754183,-0.291552972972973,-2.943934182754183
