base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KV_D,cumulative_frac_diff_KV_D,frac_diff_KH,cumulative_frac_diff_KH,frac_diff_KH_D,cumulative_frac_diff_KH_D
AA,46.307369,49.746286,50.828804000000005,50.828216999999995,50.8287975,50.82853,50.82884,50.828572,50.828770000000006,50.8284985,50.828770000000006,50.82853,-0.23961627257799675,-0.23961627257799675,-0.18314801313628912,-0.18314801313628912,-0.1653726765188834,-0.1653726765188834,-0.1653823152709361,-0.1653823152709361,-0.1653727832512316,-0.1653727832512316,-0.16537717569786542,-0.16537717569786542,-0.16537208538587858,-0.16537208538587858,-0.165376486042693,-0.165376486042693,-0.16537323481116584,-0.16537323481116584,-0.1653776929392447,-0.1653776929392447,-0.16537323481116584,-0.16537323481116584,-0.16537717569786542,-0.16537717569786542
AW,46.307358,49.74629,50.82878,50.82819,50.82876,50.828487,50.82876,50.828487,50.828815,50.82855,50.828815,50.828487,-0.2396164532019705,-0.47923272577996723,-0.18314794745484406,-0.3662959605911332,-0.1653730706075534,-0.3307457471264368,-0.16538275862068974,-0.33076507389162585,-0.16537339901477835,-0.33074618226600994,-0.16537788177339904,-0.33075505747126444,-0.16537339901477835,-0.33074548440065693,-0.16537788177339904,-0.330754367816092,-0.1653724958949098,-0.3307457307060756,-0.16537684729064048,-0.33075454022988515,-0.1653724958949098,-0.3307457307060756,-0.16537788177339904,-0.33075505747126444
BA,46.307358,49.74629,50.82878,50.82819,50.8287975,50.82853,50.82878,50.82851,50.828770000000006,50.8284985,50.828770000000006,50.82853,-0.2396164532019705,-0.7188491789819378,-0.18314794745484406,-0.5494439080459772,-0.1653730706075534,-0.4961188177339902,-0.16538275862068974,-0.4961478325123156,-0.1653727832512316,-0.49611896551724155,-0.16537717569786542,-0.49613223316912985,-0.1653730706075534,-0.49611855500821034,-0.16537750410509036,-0.49613187192118235,-0.16537323481116584,-0.49611896551724144,-0.1653776929392447,-0.49613223316912985,-0.16537323481116584,-0.49611896551724144,-0.16537717569786542,-0.49613223316912985
AB,40.4552955,46.7989715,44.392864,47.096893,49.3227655,49.32253,49.3227805,49.322545,49.322792,49.322557,49.322792,49.322548,-0.335709433497537,-1.0545586124794748,-0.2315439819376027,-0.7809878899835799,-0.27105313628899835,-0.7671719540229885,-0.22665200328407228,-0.7227998357963878,-0.19010237274220035,-0.6862213382594419,-0.19010623973727428,-0.6862384729064042,-0.19010212643678168,-0.686220681444992,-0.1901059934318556,-0.686237865353038,-0.19010193760262734,-0.6862209031198687,-0.19010579638752054,-0.6862380295566504,-0.19010193760262734,-0.6862209031198687,-0.19010594417077187,-0.6862381773399018
AP,34.735476500000004,47.4234015,49.3228015,49.322229500000006,49.322773999999995,49.322535,49.322805,49.3225725,49.32279,49.3225575,49.32279,49.3225725,-0.4296309277504105,-1.4841895402298853,-0.22129061576354692,-1.0022785057471268,-0.19010178160919552,-0.9572737356321841,-0.1901111740558292,-0.9129110098522171,-0.19010223316912986,-0.8763235714285718,-0.190106157635468,-0.8763446305418722,-0.19010172413793108,-0.8763224055829231,-0.19010554187192127,-0.8763434072249593,-0.19010197044334987,-0.8763228735632186,-0.19010578817733995,-0.8763438177339903,-0.19010197044334987,-0.8763228735632186,-0.19010554187192127,-0.8763437192118231
BB,40.4552765,46.7989765,44.392804999999996,47.096886,49.3227805,49.322545,44.392810999999995,47.05591,49.32279,49.3225575,49.32279,49.3225725,-0.3357097454844008,-1.819899285714286,-0.23154389983579643,-1.2338224055829232,-0.27105410509031214,-1.2283278407224962,-0.22665211822660108,-1.139563128078818,-0.19010212643678168,-1.0664256978653535,-0.1901059934318556,-1.0664506239737277,-0.27105400656814466,-1.1473764121510677,-0.227324958949097,-1.1036683661740563,-0.19010197044334987,-1.0664248440065685,-0.19010578817733995,-1.0664496059113302,-0.19010197044334987,-1.0664248440065685,-0.19010554187192127,-1.0664492610837444
BP,34.73548,47.423397,49.322807,49.322235,49.322807499999996,49.3225745,44.39288,47.055893999999995,49.322792,49.322557,49.322792,49.3225745,-0.42963087027914615,-2.249530155993432,-0.22129068965517246,-1.4551130952380957,-0.19010169129720866,-1.418429532019705,-0.19011108374384245,-1.3296742118226605,-0.19010168308702804,-1.2565273809523816,-0.19010550903119874,-1.2565561330049264,-0.2710528735632185,-1.4184292857142862,-0.227325221674877,-1.3309935878489334,-0.19010193760262734,-1.2565267816091958,-0.19010579638752054,-1.2565554022988508,-0.19010193760262734,-1.2565267816091958,-0.19010550903119874,-1.256554770114943
BZ,40.455302,46.798964999999995,44.3928885,47.0969175,49.322805,49.3225725,49.322826,49.322593999999995,49.32279,49.3225575,49.32279,49.3225725,-0.33570932676518883,-2.5852394827586207,-0.23154408866995088,-1.6866571839080466,-0.2710527339901479,-1.6894822660098527,-0.2266516009852217,-1.5563258128078823,-0.19010172413793108,-1.4466291050903126,-0.19010554187192127,-1.4466616748768477,-0.1901013793103449,-1.6085306650246312,-0.1901051888341545,-1.521098776683088,-0.19010197044334987,-1.4466287520525456,-0.19010578817733995,-1.4466611904761908,-0.19010197044334987,-1.4466287520525456,-0.19010554187192127,-1.4466603119868644
AC,34.6454345,46.159223,37.3991175,46.4360225,43.607682499999996,43.608101,48.0694465,48.069188,48.069465,48.069203,48.069465,48.069198,-0.43110944991789824,-3.016348932676519,-0.24204888341543526,-1.928706067323482,-0.3858929802955665,-2.0753752463054194,-0.237503735632184,-1.7938295484400664,-0.28394610016420374,-1.7305752052545165,-0.2839392282430214,-1.730600903119869,-0.21068232348111668,-1.8192129885057478,-0.2106865681444993,-1.7317853448275873,-0.21068201970443357,-1.657310771756979,-0.2106863218390805,-1.6573475123152712,-0.21068201970443357,-1.657310771756979,-0.21068640394088678,-1.6573467159277513
AF,34.603165000000004,39.120964,39.145855,39.208687,39.14593,39.147026,43.607704999999996,43.608121999999995,48.0694695,48.0692065,48.0694695,48.069198,-0.4318035303776683,-3.4481524630541873,-0.3576196387520526,-2.2863257060755346,-0.35721091954023,-2.4325861658456494,-0.356179195402299,-2.150008743842365,-0.35720968801313635,-2.087784893267653,-0.3571916912972086,-2.0877925944170777,-0.28394573070607565,-2.1031587192118235,-0.2839388834154353,-2.0157242282430223,-0.210681945812808,-1.867992717569787,-0.21068626436781618,-1.8680337766830875,-0.210681945812808,-1.867992717569787,-0.21068640394088678,-1.8680331198686382
