base_code,SP,TCT,ST,DG,KV,KH,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KH,cumulative_frac_diff_KH
AA,46.3176,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,-0.20142068965517243,-0.20142068965517243,-0.14080213794474591,-0.14080213794474591,-0.14080213794474591,-0.14080213794474591,-0.14080213794474591,-0.14080213794474591,-0.14080213794474591,-0.14080213794474591,-0.14080213794474591,-0.14080213794474591
AW,46.3176,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,-0.20142068965517243,-0.40284137931034486,-0.14080213794474591,-0.28160427588949183,-0.14080213794474591,-0.28160427588949183,-0.14080213794474591,-0.28160427588949183,-0.14080213794474591,-0.28160427588949183,-0.14080213794474591,-0.28160427588949183
BA,46.3176,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,49.83347599920474,-0.20142068965517243,-0.6042620689655173,-0.14080213794474591,-0.4224064138342377,-0.14080213794474591,-0.4224064138342377,-0.14080213794474591,-0.4224064138342377,-0.14080213794474591,-0.4224064138342377,-0.14080213794474591,-0.4224064138342377
AB,40.5279,44.2019114537502,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,-0.3012431034482758,-0.905505172413793,-0.23789807838361726,-0.6603044922178549,-0.15949712227076454,-0.5819035361050022,-0.15949712227076454,-0.5819035361050022,-0.15949712227076454,-0.5819035361050022,-0.15949712227076454,-0.5819035361050022
AP,34.7382,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,-0.40106551724137934,-1.3065706896551723,-0.15949712227076454,-0.8198016144886194,-0.15949712227076454,-0.7414006583757667,-0.15949712227076454,-0.7414006583757667,-0.15949712227076454,-0.7414006583757667,-0.15949712227076454,-0.7414006583757667
BB,40.5279,44.2019114537502,48.749166908295656,44.2019114537502,48.749166908295656,48.749166908295656,-0.3012431034482758,-1.6078137931034482,-0.23789807838361726,-1.0576996928722366,-0.15949712227076454,-0.9008977806465313,-0.23789807838361726,-0.979298736759384,-0.15949712227076454,-0.9008977806465313,-0.15949712227076454,-0.9008977806465313
BP,34.7382,48.749166908295656,48.749166908295656,44.2019114537502,48.749166908295656,48.749166908295656,-0.40106551724137934,-2.0088793103448275,-0.15949712227076454,-1.2171968151430013,-0.15949712227076454,-1.0603949029172959,-0.23789807838361726,-1.2171968151430013,-0.15949712227076454,-1.0603949029172959,-0.15949712227076454,-1.0603949029172959
BZ,40.5279,44.2019114537502,48.749166908295656,48.749166908295656,48.749166908295656,48.749166908295656,-0.3012431034482758,-2.310122413793103,-0.23789807838361726,-1.4550948935266186,-0.15949712227076454,-1.2198920251880605,-0.15949712227076454,-1.376693937413766,-0.15949712227076454,-1.2198920251880605,-0.15949712227076454,-1.2198920251880605
AC,34.7382,37.800421652454816,43.16688913970061,47.76343137110557,47.76343137110557,47.76343137110557,-0.40106551724137934,-2.7111879310344826,-0.3482685921990549,-1.8033634857256735,-0.2557432906948171,-1.4756353158828777,-0.17649256256714538,-1.5531864999809113,-0.17649256256714538,-1.396384587755206,-0.17649256256714538,-1.396384587755206
AF,34.7382,38.57034690829565,38.57034690829565,43.16688913970061,47.76343137110557,47.76343137110557,-0.40106551724137934,-3.112253448275862,-0.33499401882248886,-2.1383575045481624,-0.33499401882248886,-1.8106293347053666,-0.2557432906948171,-1.8089297906757285,-0.17649256256714538,-1.5728771503223513,-0.17649256256714538,-1.5728771503223513
AQ,23.1588,47.76343137110557,43.16688913970061,47.76343137110557,47.76343137110557,47.76343137110557,-0.6007103448275862,-3.7129637931034485,-0.17649256256714538,-2.314850067115308,-0.2557432906948171,-2.0663726254001835,-0.17649256256714538,-1.9854223532428739,-0.17649256256714538,-1.7493697128894967,-0.17649256256714538,-1.7493697128894967
BC,34.7382,37.800421652454816,43.16688913970061,43.16688913970061,47.76343137110557,47.76343137110557,-0.40106551724137934,-4.1140293103448276,-0.3482685921990549,-2.663118659314363,-0.2557432906948171,-2.3221159160950005,-0.2557432906948171,-2.241165643937691,-0.17649256256714538,-1.9258622754566421,-0.17649256256714538,-1.9258622754566421
BF,34.7382,37.800421652454816,43.16688913970061,47.76343137110557,47.76343137110557,47.76343137110557,-0.40106551724137934,-4.515094827586207,-0.3482685921990549,-3.011387251513418,-0.2557432906948171,-2.5778592067898174,-0.17649256256714538,-2.417658206504836,-0.17649256256714538,-2.1023548380237873,-0.17649256256714538,-2.1023548380237873
AD,28.9485,30.77439304424351,42.22595976329189,46.86730815547822,46.86730815547822,46.86730815547822,-0.5008879310344828,-5.01598275862069,-0.46940701647856015,-3.4807942679919783,-0.27196621097772605,-2.8498254177675433,-0.1919429628365824,-2.6096011693414187,-0.1919429628365824,-2.29429780086037,-0.1919429628365824,-2.29429780086037
AR,11.5794,46.86730815547822,37.58461137110556,46.86730815547822,46.86730815547822,46.86730815547822,-0.8003551724137931,-5.816337931034483,-0.1919429628365824,-3.672737230828561,-0.35198945911886964,-3.201814876886413,-0.1919429628365824,-2.8015441321780012,-0.1919429628365824,-2.4862407636969523,-0.1919429628365824,-2.4862407636969523
BD,28.9485,30.77439304424351,42.22595976329189,42.22595976329189,46.86730815547822,46.86730815547822,-0.5008879310344828,-6.317225862068966,-0.46940701647856015,-4.142144247307121,-0.27196621097772605,-3.473781087864139,-0.27196621097772605,-3.073510343155727,-0.1919429628365824,-2.678183726533535,-0.1919429628365824,-2.678183726533535
BK,28.9485,32.168857107000264,37.58461137110556,37.58461137110556,46.86730815547822,46.86730815547822,-0.5008879310344828,-6.818113793103449,-0.44536453263792647,-4.587508779945047,-0.35198945911886964,-3.8257705469830086,-0.35198945911886964,-3.425499802274597,-0.1919429628365824,-2.8701266893701174,-0.1919429628365824,-2.8701266893701174
BQ,23.1588,42.22595976329189,32.168857107000264,36.810205499186594,37.58461137110556,37.58461137110556,-0.6007103448275862,-7.418824137931035,-0.27196621097772605,-4.859474990922773,-0.44536453263792647,-4.271135079620935,-0.3653412844967829,-3.7908410867713798,-0.35198945911886964,-3.222116148488987,-0.35198945911886964,-3.222116148488987
CA,34.7382,37.58461137110556,42.22595976329189,37.58461137110556,46.86730815547822,46.86730815547822,-0.40106551724137934,-7.819889655172415,-0.35198945911886964,-5.2114644500416425,-0.27196621097772605,-4.543101290598661,-0.35198945911886964,-4.1428305458902495,-0.1919429628365824,-3.4140591113255696,-0.1919429628365824,-3.4140591113255696
CT,34.7382,37.58461137110556,37.58461137110556,37.58461137110556,46.86730815547822,46.86730815547822,-0.40106551724137934,-8.220955172413793,-0.35198945911886964,-5.563453909160512,-0.35198945911886964,-4.89509074971753,-0.35198945911886964,-4.494820005009119,-0.1919429628365824,-3.606002074162152,-0.1919429628365824,-3.606002074162152
AE,23.1588,23.02632534336304,41.37056942110215,46.05265068672608,46.05265068672608,46.05265068672608,-0.6007103448275862,-8.82166551724138,-0.6029943906316717,-6.166448299792184,-0.28671432032582506,-5.181805070043356,-0.2059887812633434,-4.700808786272463,-0.2059887812633434,-3.8119908554254955,-0.2059887812633434,-3.8119908554254955
AG,23.1588,25.767367305704884,36.68848815547822,36.68848815547822,36.68848815547822,36.68848815547822,-0.6007103448275862,-9.422375862068966,-0.5557350464533641,-6.722183346245548,-0.3674398593883066,-5.549244929431662,-0.3674398593883066,-5.068248645660769,-0.3674398593883066,-4.179430714813802,-0.3674398593883066,-4.179430714813802
AS,0.0,46.05265068672608,36.68848815547822,36.68848815547822,46.05265068672608,46.05265068672608,-1.0,-10.422375862068966,-0.2059887812633434,-6.928172127508891,-0.3674398593883066,-5.9166847888199685,-0.3674398593883066,-5.435688505049075,-0.2059887812633434,-4.385419496077145,-0.2059887812633434,-4.385419496077145
BE,23.1588,23.02632534336304,41.37056942110215,35.91000899621548,46.05265068672608,46.05265068672608,-0.6007103448275862,-11.023086206896552,-0.6029943906316717,-7.531166518140563,-0.28671432032582506,-6.203399109145794,-0.3808619138583538,-5.816550418907429,-0.2059887812633434,-4.591408277340489,-0.2059887812633434,-4.591408277340489
AJ,23.1588,24.87124409007753,30.37253738840181,35.87383068672609,35.87383068672609,35.87383068672609,-0.6007103448275862,-11.623796551724139,-0.5711854467228012,-8.102351964863365,-0.4763355622689343,-6.679734671414728,-0.3814856778150675,-6.198036096722497,-0.3814856778150675,-4.972893955155556,-0.3814856778150675,-4.972893955155556
BG,28.9485,30.37253738840181,30.37253738840181,30.37253738840181,35.87383068672609,35.87383068672609,-0.5008879310344828,-12.12468448275862,-0.4763355622689343,-8.578687527132299,-0.4763355622689343,-7.156070233683662,-0.4763355622689343,-6.674371658991431,-0.3814856778150675,-5.354379632970624,-0.3814856778150675,-5.354379632970624
BR,17.3691,30.37253738840181,24.242631995817852,24.242631995817852,35.87383068672609,35.87383068672609,-0.7005327586206896,-12.82521724137931,-0.4763355622689343,-9.055023089401233,-0.5820235862790025,-7.738093819962665,-0.5820235862790025,-7.256395245270434,-0.3814856778150675,-5.735865310785692,-0.3814856778150675,-5.735865310785692
CB,28.9485,30.37253738840181,30.37253738840181,30.37253738840181,35.87383068672609,35.87383068672609,-0.5008879310344828,-13.326105172413792,-0.4763355622689343,-9.531358651670168,-0.4763355622689343,-8.2144293822316,-0.4763355622689343,-7.732730807539368,-0.3814856778150675,-6.1173509886007595,-0.3814856778150675,-6.1173509886007595
CO,11.5794,35.87383068672609,24.242631995817852,30.37253738840181,35.87383068672609,35.87383068672609,-0.8003551724137931,-14.126460344827585,-0.3814856778150675,-9.912844329485235,-0.5820235862790025,-8.796452968510602,-0.4763355622689343,-8.209066369808303,-0.3814856778150675,-6.498836666415827,-0.3814856778150675,-6.498836666415827
CU,28.9485,30.37253738840181,30.37253738840181,35.87383068672609,35.87383068672609,35.87383068672609,-0.5008879310344828,-14.627348275862067,-0.4763355622689343,-10.38917989175417,-0.4763355622689343,-9.272788530779536,-0.3814856778150675,-8.59055204762337,-0.3814856778150675,-6.880322344230895,-0.3814856778150675,-6.880322344230895
AH,11.5794,11.715310089282276,29.594909804592955,29.594909804592955,35.13323298786051,35.13323298786051,-0.8003551724137931,-15.42770344827586,-0.7980118950123746,-11.187191786766544,-0.48974293440356975,-9.762531465183105,-0.48974293440356975,-9.08029498202694,-0.3942546036575774,-7.274576947888472,-0.3942546036575774,-7.274576947888472
AT,23.1588,24.0565866213254,29.594909804592955,24.0565866213254,35.13323298786051,35.13323298786051,-0.6007103448275862,-16.028413793103446,-0.585231265149562,-11.772423051916105,-0.48974293440356975,-10.252274399586675,-0.585231265149562,-9.665526247176501,-0.3942546036575774,-7.66883155154605,-0.3942546036575774,-7.66883155154605
CD,17.3691,17.566616493930255,29.594909804592955,35.13323298786051,35.13323298786051,35.13323298786051,-0.7005327586206896,-16.728946551724135,-0.6971273018287887,-12.469550353744893,-0.48974293440356975,-10.742017333990244,-0.3942546036575774,-10.059780850834079,-0.3942546036575774,-8.063086155203628,-0.3942546036575774,-8.063086155203628
AK,11.5794,10.900652620530144,28.887975637493994,28.887975637493994,34.459962352528166,34.459962352528166,-0.8003551724137931,-17.529301724137927,-0.8120577134391355,-13.281608067184028,-0.5019314545259657,-11.24394878851621,-0.5019314545259657,-10.561712305360045,-0.4058627180598592,-8.468948873263487,-0.4058627180598592,-8.468948873263487
BS,17.3691,22.680307486529156,22.680307486529156,17.229981176264083,34.459962352528166,34.459962352528166,-0.7005327586206896,-18.229834482758616,-0.6089602157494972,-13.890568282933526,-0.6089602157494972,-11.852909004265708,-0.7029313590299296,-11.264643664389974,-0.4058627180598592,-8.874811591323347,-0.4058627180598592,-8.874811591323347
BU,17.3691,17.229981176264083,28.887975637493994,22.680307486529156,34.459962352528166,34.459962352528166,-0.7005327586206896,-18.930367241379304,-0.7029313590299296,-14.593499641963454,-0.5019314545259657,-12.354840458791674,-0.6089602157494972,-11.873603880139472,-0.4058627180598592,-9.280674309383206,-0.4058627180598592,-9.280674309383206
CC,23.1588,22.680307486529156,28.887975637493994,22.680307486529156,34.459962352528166,34.459962352528166,-0.6007103448275862,-19.53107758620689,-0.6089602157494972,-15.202459857712952,-0.5019314545259657,-12.85677191331764,-0.6089602157494972,-12.48256409588897,-0.4058627180598592,-9.686537027443066,-0.4058627180598592,-9.686537027443066
